"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"97";10;0,153;0,1555;7,73;5,411;0,058250573;3;0,1584;0,0942;0,003205;0,04275;NA;NA;NA;NA;NA;NA
"98";10;0,153;0,1555;7,73;6,184;0,03724217;2;0,096;0,0587;0,00235;0,0326625;NA;NA;NA;NA;NA;NA
"99";10;0,153;0,1555;7,73;6,957;0,019735167;1;0,0295;0,0176;0,001175;0,025475;NA;NA;NA;NA;NA;NA
"100";10;0,153;0,1555;7,73;7,73;0,010185893;0,1043;0,0098;0,0061;0,00023;0,040016667;NA;NA;NA;NA;NA;NA
"101";11;0,276;0,2725;10,87;1,087;0,254647313;50;1,4725;0,7632;0,04839;0,026575;41,57;20,78;3,2;1,5;0,543;0,22
"102";11;0,276;0,2725;10,87;2,174;0,169977082;39,5;1,4505;0,741;0,04886;0,0269375;NA;NA;NA;NA;NA;NA
"103";11;0,276;0,2725;10,87;3,261;0,134644767;35;0,7435;0,38338;0,02208;0,0276875;NA;NA;NA;NA;NA;NA
"104";11;0,276;0,2725;10,87;4,348;0,118092692;28;0,5255;0,2931;0,0146;0,032675;NA;NA;NA;NA;NA;NA
"105";11;0,276;0,2725;10,87;5,435;0,116819455;19,5;0,3219;0,1804;0,009945;0,027325;NA;NA;NA;NA;NA;NA
"106";11;0,276;0,2725;10,87;6,522;0,106315253;13,464;0,2645;0,1567;0,00949;0,02395;NA;NA;NA;NA;NA;NA
"107";11;0,276;0,2725;10,87;7,609;0,06684492;12;0,1869;0,1016;0,008003;0,0207375;NA;NA;NA;NA;NA;NA
"108";11;0,276;0,2725;10,87;8,696;0,04838299;8;0,2409;0,13;0,007936;0,0272625;NA;NA;NA;NA;NA;NA
"109";11;0,276;0,2725;10,87;9,783;0,027056277;2;0,0987;0,0235;0,002145;0,021075;NA;NA;NA;NA;NA;NA
"110";11;0,276;0,2725;10,87;10,87;0,014323911;0,3611;0,0116;0,0077;0,000486;0,0250875;NA;NA;NA;NA;NA;NA
"111";12;0,1935;0,2295;15,18;1,518;0,200534759;52;1,0478;0,52839;0,03702;0,0244125;48,7;24,35;2,2;1,2;0,543;0,19
"112";12;0,1935;0,2295;15,18;3,036;0,197351668;47;0,9432;0,50571;0,0295;0,0305;NA;NA;NA;NA;NA;NA
"113";12;0,1935;0,2295;15,18;4,554;0,176979883;46;1,0481;0,5519;0,028885;0,03615;NA;NA;NA;NA;NA;NA
"114";12;0,1935;0,2295;15,18;6,072;0,145467278;37;0,5041;0,25519;0,02299;0,0208625;NA;NA;NA;NA;NA;NA
"115";12;0,1935;0,2295;15,18;7,59;0,138464477;29;0,5933;0,30451;0,022633;0,0252;NA;NA;NA;NA;NA;NA
"116";12;0,1935;0,2295;15,18;9,108;0,105042017;18;0,2807;0,1464;0,0112;0,0236625;NA;NA;NA;NA;NA;NA
"117";12;0,1935;0,2295;15,18;10,626;0,061115355;9;0,1351;0,0745;0,006483;0,0202875;NA;NA;NA;NA;NA;NA
"118";12;0,1935;0,2295;15,18;12,144;0,067481538;4;0,0872;0,0448;0,00281;0,02975;NA;NA;NA;NA;NA;NA
"119";12;0,1935;0,2295;15,18;13,662;0,025146422;1,5;0,0352;0,0037;0,00105;0,0310375;NA;NA;NA;NA;NA;NA
"120";12;0,1935;0,2295;15,18;15,18;0,012732366;NA;0,0109;0,0053;0,00045;0,02015;NA;NA;NA;NA;NA;NA
"121";13;0,1075;0,1265;11,04;1,104;0,102495544;14;0,3497;0,1798;0,01178;0,023425;11,9;5,95;2,2;1,8;0,553;0,16
"122";13;0,1075;0,1265;11,04;2,208;0,12254902;11,5;0,2537;0,1269;0,007815;0,029775;NA;NA;NA;NA;NA;NA
"123";13;0,1075;0,1265;11,04;3,312;0,084670232;8,5;0,4179;0,213;0,012536;0,03025;NA;NA;NA;NA;NA;NA
"124";13;0,1075;0,1265;11,04;4,416;0,098675834;7,5;0,1495;0,0724;0,005516;0,0256875;NA;NA;NA;NA;NA;NA
"125";13;0,1075;0,1265;11,04;5,52;0,077030812;7;0,1671;0,087;0,005776;0,0262;NA;NA;NA;NA;NA;NA
