"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"235";22;0,383;17,81;"5,343";0,39;170,5;"4,81";"4,48";"28.237";"26.318";0,147086;0,101625;0,0333;0,036725;NA;NA;NA;NA;NA;NA
"236";22;0,383;17,81;"7,124";0,191;93,5;"4.033";"0,867";"236.355";"0,51133";0,111285;0,02638;0,032475;0,0283125;NA;NA;NA;NA;NA;NA
"237";22;0,383;17,81;"8,905";0,182;46;"0,743";"0,7386";"0,44329";"0,42656";0,025895;0,02475;0,0250125;0,0276375;NA;NA;NA;NA;NA;NA
"238";22;0,383;17,81;"10,686";0,149;53,5;"0,6613";"1.449";"0,39448";"0,84195";0,024995;0,031376;0,0254375;0,0425625;NA;NA;NA;NA;NA;NA
"239";22;0,383;17,81;"12,467";0,123;23,5;"0,365";"0,2737";"0,2138";"0,1523";0,016355;0,01104;0,020775;0,024775;NA;NA;NA;NA;NA;NA
"240";22;0,383;17,81;"14,248";0,066;17,5;"0,28";"0,0547";"0,1558";"0,0308";0,012355;0,0027;0,0218875;0,0212625;NA;NA;NA;NA;NA;NA
"241";22;0,383;17,81;"16,029";0,054;2;"0,0687";"0,0383";"0,0377";"0,0163";0,003056;0,001735;0,0227375;0,0216625;NA;NA;NA;NA;NA;NA
"242";22;0,383;17,81;"17,810";0,008;1,5;"0,0292";"0,004";"0,0158";"0,0021";0,00118;7e-05;0,025216667;0,05705;NA;NA;NA;NA;NA;NA
"243";23;0,146;11,05;"0,000";0,216;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"244";23;0,146;11,05;"1,105";0,157;24,5;"0,6522";"0,4583";"0,3907";"0,27338";0,024225;0,017305;0,024025;0,024325;20,54;10,27;2,1;1,6;0,52;0,27
"245";23;0,146;11,05;"2,210";0,139;19,5;"0,5096";"0,3376";"0,29777";"0,19408";0,01752;0,014115;0,026475;0,0216125;NA;NA;NA;NA;NA;NA
"246";23;0,146;11,05;"3,315";0,134;17,5;"0,4374";"0,379";"0,24663";"0,22029";0,013793;0,012675;0,028325;0,027375;NA;NA;NA;NA;NA;NA
"247";23;0,146;11,05;"4,420";0,141;16;"0,409";"0,3931";"0,23508";"0,22746";0,01322;0,014203;0,02865;0,02525;NA;NA;NA;NA;NA;NA
"248";23;0,146;11,05;"5,525";0,092;14;"0,2949";"0,1796";"0,17168";"0,1032";0,0163;0,005505;0,0174125;0,0285625;NA;NA;NA;NA;NA;NA
"249";23;0,146;11,05;"6,630";0,063;5;"0,1161";"0,0621";"0,0677";"0,0347";0,004746;0,0029;0,0212375;0,0208125;NA;NA;NA;NA;NA;NA
"250";23;0,146;11,05;"7,735";0,049;3;"0,0715";"0,0303";"0,0399";"0,0159";0,003223;0,00163;0,0231;0,0179;NA;NA;NA;NA;NA;NA
"251";23;0,146;11,05;"8,840";0,035;2;"0,0385";"0,0494";"0,0196";"0,0267";0,00201;0,001745;0,021375;0,0264875;NA;NA;NA;NA;NA;NA
